Prj_Code,SiteCode,SiteName,PropertyName,RefugeCode,Ownership,Region,City,County,State,PrimaryContact,SecondContact,PhoneNumber,Latitude,Longitude,Elevation,Class,Longevity,Origin
5,AK-KNA10,KNA10,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.51236,-150.05821,,,,
5,AK-KNA11,KNA111,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.48316,-150.45578,,,,
5,AK-KNA12,KNA12,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.71423,-150.81541,,,,
5,AK-KNA13,KNA13,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.75108,-150.5023,,,,
5,AK-KNA14,KNA14,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.75134,-150.50377,,,,
5,AK-KNA16,KNA16,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.74432,-150.51752,,,,
5,AK-KNA17,KNA17,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.73238,-150.61914,,,,
5,AK-KNA21,KNA21,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.65625,-151.02934,,,,
5,AK-KNA24,KNA24,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.48722,-150.00838,,,,
5,AK-KNA31,KNA31,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.20227,-151.0425,,,,
5,AK-KNA46,KNA46,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.77655,-150.53915,,,,
5,AK-KNA47,KNA47,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.77681,-150.54729,,,,
5,AK-KNA51,KNA51,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.51236,-150.05821,,,,
5,AK-KNA54,KNA54,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.5161,-150.0611,,,,
5,AK-KNA55,KNA55,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.52696,-150.06953,,,,
5,AK-KNA56,KNA56,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.52369,-150.06409,,,,
5,AK-KNA60,KNA60,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.43626,-150.50771,,,,
5,AK-KNA62,KNA62,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.43449,-150.5195,,,,
5,AK-KNA72,KNA72,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.76591,-150.54276,,,,
5,AK-KNA90,KNA90,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.46187,-151.09351,,,,
5,AK-KNA95,KNA95,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.53101,-150.46449,,,,
5,AK-KNA97,KNA97,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,60.5316,-150.42769,,,,
5,AK-KNAUK,UNKNOWN KENAI NWR,Kenai National Wildlife Refuge,KNA,,7,,,AK,,,,,,,,,
5,AK-TET45,TET45,Tetlin National Wildlife Refuge,TET,,7,,,AK,,,,62.61821,-141.97986,,,,
5,AK-TET66,TET66,Tetlin National Wildlife Refuge,TET,,7,,,AK,,,,62.60333,-142.05103,,,,
5,AK-TET70,TET70,Tetlin National Wildlife Refuge,TET,,7,,,AK,,,,62.63839,-142.02206,,,,
5,AK-TET71,TET71,Tetlin National Wildlife Refuge,TET,,7,,,AK,,,,62.63444,-142.02321,,,,
